Document,Chunk Size,Overlap,kNN,Query,Document Filename,Chunk Index,Chunk Text,Relevance,Completeness,Accuracy
4.pdf,200,0,3,"1. Where is the natural habitat of the Soft Tree Fern, Dicksonia antarctica?",4.pdf,238," A. (1996) Conservation and manage-
ment  of  soft  tree  fern  Dicksonia  antarctica  in  relation  to
commercial  forestry  and  horticulture.  In:  Pteridology  in
Perspective  (ed.  J.  M.  Cammus",1,1,1
4.pdf,200,0,3,"1. Where is the natural habitat of the Soft Tree Fern, Dicksonia antarctica?",4.pdf,39,"ns.

a
D.  antarctica

The

gap.

and

This study aimed to identify the environmental con-
straints  affecting  gas  exchange,  stomatal  conductance
and water relations in the Soft Tree Fern, 
.
D. a",1,1,1
4.pdf,200,0,5,"1. Where is the natural habitat of the Soft Tree Fern, Dicksonia antarctica?",4.pdf,39,"ns.

a
D.  antarctica

The

gap.

and

This study aimed to identify the environmental con-
straints  affecting  gas  exchange,  stomatal  conductance
and water relations in the Soft Tree Fern, 
.
D. a",1,1,1
4.pdf,200,0,5,"1. Where is the natural habitat of the Soft Tree Fern, Dicksonia antarctica?",4.pdf,31,"ly through
a  subterranean  root  system  or  rhizomatous  mats  in
epiphytic  ferns  (Andrade  &  Nobel  1997;  Hietz  &
Briones 1998).

et al

Dicksonia antarctica

Although the ecophysiology of epi",1,1,1
4.pdf,200,0,3,2. How long can an individual Dicksonia antarctica potentially live?,4.pdf,238," A. (1996) Conservation and manage-
ment  of  soft  tree  fern  Dicksonia  antarctica  in  relation  to
commercial  forestry  and  horticulture.  In:  Pteridology  in
Perspective  (ed.  J.  M.  Cammus",1,1,1
4.pdf,200,0,5,2. How long can an individual Dicksonia antarctica potentially live?,4.pdf,0,"Austral Ecology

 (2002) 

27

, 360–368

Ecophysiology of the Soft Tree Fern, 
Labill

Dicksonia antarctica

1,3†

 N. J. DAVIDSON,

M. A. HUNT,
1
School of Plant Science, University of Tasmania, GPO",1,1,1
4.pdf,200,0,5,2. How long can an individual Dicksonia antarctica potentially live?,4.pdf,238," A. (1996) Conservation and manage-
ment  of  soft  tree  fern  Dicksonia  antarctica  in  relation  to
commercial  forestry  and  horticulture.  In:  Pteridology  in
Perspective  (ed.  J.  M.  Cammus",1,1,1
4.pdf,200,0,5,2. How long can an individual Dicksonia antarctica potentially live?,4.pdf,36,"996;  Unwin  &  Hunt
1996).
long
its
During
with
(compared
co-occurring  tree  species)  lifetime, 
  may
D.  antarctica
be  exposed  to  a  wide  range  of  light  regimes,  from
shaded  beneath  a  ",1,1,1
4.pdf,200,0,5,4. How do the fronds of Dicksonia antarctica potentially contribute to water acquisition?,4.pdf,31,"ly through
a  subterranean  root  system  or  rhizomatous  mats  in
epiphytic  ferns  (Andrade  &  Nobel  1997;  Hietz  &
Briones 1998).

et al

Dicksonia antarctica

Although the ecophysiology of epi",1,1,1
4.pdf,200,0,5,6. Why might Dicksonia antarctica be considered to occupy a broad ecological niche?,4.pdf,238," A. (1996) Conservation and manage-
ment  of  soft  tree  fern  Dicksonia  antarctica  in  relation  to
commercial  forestry  and  horticulture.  In:  Pteridology  in
Perspective  (ed.  J.  M.  Cammus",1,1,1
5.pdf,200,0,1,2. In which geographic location was Dicksonia antarctica found to grow the fastest?,5.pdf,33,"stralia, New Zealand, south-east Asia and Central and South America. There are three
species of Dicksonia in Australia [15]. In our study region, the distributions of D. antarctica
and C. australis ov",1,1,1
5.pdf,200,0,3,2. In which geographic location was Dicksonia antarctica found to grow the fastest?,5.pdf,141,"alis grows faster than D. antarctica. This is perhaps not surprising
given Cyathea as a genus has many very fast growing species and, on average, have larger
crown spread than Dicksonia [16].This may ",1,1,1
5.pdf,200,0,5,2. In which geographic location was Dicksonia antarctica found to grow the fastest?,5.pdf,33,"stralia, New Zealand, south-east Asia and Central and South America. There are three
species of Dicksonia in Australia [15]. In our study region, the distributions of D. antarctica
and C. australis ov",1,1,1
5.pdf,200,0,5,2. In which geographic location was Dicksonia antarctica found to grow the fastest?,5.pdf,141,"alis grows faster than D. antarctica. This is perhaps not surprising
given Cyathea as a genus has many very fast growing species and, on average, have larger
crown spread than Dicksonia [16].This may ",1,1,1
5.pdf,200,0,5,4. What reasoning did the researchers provide for the increased growth rate in taller Dicksonia antarctica?,5.pdf,45," and do rates of growth vary between these two species? What fac-
tors, including environmental variables, influence the rate of growth of D. antarctica and C.
australis? Finally, from our results: Ar",1,1,1
5.pdf,200,0,5,6. How did the researchers account for post-fire environments in the growth measurement of Dicksonia antarctica?,5.pdf,113,"outh-eastern Australia, D. antarctica and C. australis, and the factors that influenced their
growth. We expected that the environmental variables we measured would influence growth
with the more favo",1,1,1
6.pdf,200,0,5,2. How are tree ferns propagated for use in commercial horticulture?,6.pdf,85,"t  of  this 

tree  fern  resource  elsewhere  in  south-eastern  Australia,  wherever  commercial  sale  or 

harvest of the species is to be entertained. 

We first consider the regeneration biology",1,1,1
6.pdf,200,0,5,2. How are tree ferns propagated for use in commercial horticulture?,6.pdf,269,"sting tree fern harvesters and nurseries. 

The  proposed  management  plan  is  based  on  licenced  salvage  harvest,  tagging  and 

accounting of fern stems from point of harvest to point of retai",1,1,1
6.pdf,200,0,3,3. What are some conservation concerns regarding tree ferns in Australia?,6.pdf,31,"  silviculturally  for  an 

expanding world horticultural interest in Australian native ferns. The concept of actually 

raising and managing tree fern stocks for horticulture beneath rapidly expandi",1,1,1
6.pdf,200,0,5,3. What are some conservation concerns regarding tree ferns in Australia?,6.pdf,31,"  silviculturally  for  an 

expanding world horticultural interest in Australian native ferns. The concept of actually 

raising and managing tree fern stocks for horticulture beneath rapidly expandi",1,1,1
6.pdf,200,0,5,4. Why are certain tree fern species protected under international trade regulations?,6.pdf,100,"t and past cutting 

practices and removals have had on local population densities. 

At present, the tree fern industry is based on les s-than- adequate control of domestic harvest 

for  low-priced ",1,1,1
6.pdf,200,0,3,5. How can tree fern populations be managed sustainably in plantation settings?,6.pdf,100,"t and past cutting 

practices and removals have had on local population densities. 

At present, the tree fern industry is based on les s-than- adequate control of domestic harvest 

for  low-priced ",1,1,1
6.pdf,200,0,1,"6. What unique adaptations allow tree ferns to thrive in shaded, moist environments?",6.pdf,133,"d biology of Soft Tree Fern appear to have changed little from its 

early origins in the mesic, temperate Gondwanan flora to which it belongs. Today, the 

species  is  widespread  in  Tasmania,  esp",1,1,1
6.pdf,200,0,3,"6. What unique adaptations allow tree ferns to thrive in shaded, moist environments?",6.pdf,133,"d biology of Soft Tree Fern appear to have changed little from its 

early origins in the mesic, temperate Gondwanan flora to which it belongs. Today, the 

species  is  widespread  in  Tasmania,  esp",1,1,1
6.pdf,200,0,3,"6. What unique adaptations allow tree ferns to thrive in shaded, moist environments?",6.pdf,128,"sulting from 

tree falls or small patches of disturbance, though it 

 
 
 
 
 
 
Unwin& Hunt 11 

is not common in very densely shaded understoreys of mature rainforest. The Soft Tree 

Fern is par",1,1,1
7.pdf,200,0,5,1. How do logging practices in Tasmania impact the habitat of Dicksonia antarctica?,7.pdf,309,"f Tasmania and The Commonwealth of Australia,
(2005), op.cit.(n.8)and Environment and Heritage Report
vol.1,(1996), op.cit.(n.9).

12 Forestry Tasmania, (2005), Towards a New Silviculture in
Tasmania ",1,1,1
7.pdf,200,0,3,2. Are there any conservation efforts in place to protect Dicksonia antarctica within Tasmanian forests?,7.pdf,309,"f Tasmania and The Commonwealth of Australia,
(2005), op.cit.(n.8)and Environment and Heritage Report
vol.1,(1996), op.cit.(n.9).

12 Forestry Tasmania, (2005), Towards a New Silviculture in
Tasmania ",1,1,1
7.pdf,200,0,3,2. Are there any conservation efforts in place to protect Dicksonia antarctica within Tasmanian forests?,7.pdf,296," Tasmania 2003. See the website at:
http://www.rpdc.tas.gov.au/soer/bio/4/issue/41/ataglance.php
WWF Australia also said that it “believes that any further
broad scale conversion of native forest shou",1,1,1
7.pdf,200,0,5,2. Are there any conservation efforts in place to protect Dicksonia antarctica within Tasmanian forests?,7.pdf,309,"f Tasmania and The Commonwealth of Australia,
(2005), op.cit.(n.8)and Environment and Heritage Report
vol.1,(1996), op.cit.(n.9).

12 Forestry Tasmania, (2005), Towards a New Silviculture in
Tasmania ",1,1,1
7.pdf,200,0,5,2. Are there any conservation efforts in place to protect Dicksonia antarctica within Tasmanian forests?,7.pdf,114,"ion and Biodiversity
Conservation Act, and therefore illegal. These
operations were also found to violate
Tasmania’s Regional Forest Agreement (RFA),
a 1997 agreement between the Tasmania state
govern",1,1,1
7.pdf,200,0,5,2. Are there any conservation efforts in place to protect Dicksonia antarctica within Tasmanian forests?,7.pdf,109,"cts on the native wildlife that lives in

Tasmania’s forests. Critical habitat for
Tasmania’s wildlife is permanently destroyed
when old growth forests are replaced by short-
rotation tree crops for p",1,1,1
7.pdf,200,0,1,3. How does the logging of old growth forests affect the population of Dicksonia antarctica?,7.pdf,76,"ied within logging
""coupes containing more than 15 percent old
growth.""12 Of these, the wet Eucalyptus forests
contain more than 100,000 ha.13 In addition,
there are 130,000 ha classified as “non-old
",1,1,1
7.pdf,200,0,3,3. How does the logging of old growth forests affect the population of Dicksonia antarctica?,7.pdf,97,"d
by 2010. However, Forestry Tasmania’s defini-
tion of old growth is so inappropriately narrow
and its definition of re-growth so broad that very
few forests will qualify for any significant reduc-
t",1,1,1
7.pdf,200,0,5,3. How does the logging of old growth forests affect the population of Dicksonia antarctica?,7.pdf,97,"d
by 2010. However, Forestry Tasmania’s defini-
tion of old growth is so inappropriately narrow
and its definition of re-growth so broad that very
few forests will qualify for any significant reduc-
t",1,1,1
7.pdf,200,0,5,3. How does the logging of old growth forests affect the population of Dicksonia antarctica?,7.pdf,72,"of
""senescent"" forests in the canopy of mature
forests AND less than a certain share of ""re-
growth"" forests or no record of logging in
those areas9.

In Tasmania, this is further compromised by
the u",1,1,1
7.pdf,200,0,3,4. Does the Japanese paper industry consider the conservation of species like Dicksonia antarctica in their procurement policies?,7.pdf,14,"apanese companies that purchase the
most Tasmanian woodchips from native forests
are Nippon Paper (37.2 percent), Oji Paper
(28.4 percent) and Chu-etsu Pulp (3.6 per-
cent), whose combined purchase vo",1,1,1
7.pdf,200,0,3,5. Are there any regulations in place to ensure the protection of High Conservation Value Forests where Dicksonia antarctica may be found?,7.pdf,339,"igh-value conservation forest that would have
been reserved if the RFA criteria for forest conservation had
been fully applied.” This statement is located at:
http://www.abc.net.au/rn/science/earth/do",1,1,1
7.pdf,200,0,1,6. How does the Australian Forestry Standard (AFS) certification process account for the protection of species like Dicksonia antarctica?,7.pdf,161,"nia
are certified under the Australian Forestry
Standard (AFS), which is a timber certifica-
tion scheme developed in Australia and
designed specifically to provide legal cover for
Gunns’ egregious lo",1,1,1
7.pdf,200,0,3,6. How does the Australian Forestry Standard (AFS) certification process account for the protection of species like Dicksonia antarctica?,7.pdf,186,"ble
by AFS. 

Given that the Australia Forestry Standard has no
credibility with global environmental NGOs or
stakeholders, includes serious procedural problems,
and has recently been found to certify",1,1,1
7.pdf,200,0,5,6. How does the Australian Forestry Standard (AFS) certification process account for the protection of species like Dicksonia antarctica?,7.pdf,186,"ble
by AFS. 

Given that the Australia Forestry Standard has no
credibility with global environmental NGOs or
stakeholders, includes serious procedural problems,
and has recently been found to certify",1,1,1
7.pdf,200,0,5,6. How does the Australian Forestry Standard (AFS) certification process account for the protection of species like Dicksonia antarctica?,7.pdf,359," benefits at the regional level. ”

37 See AFS 4.1.2. (AS4708 (Int)-2003).

38 Hallmark Editions, (2006), UK Committee deems Australian

Forestry Standard fails criteria for endorsement, Land and
Wate",1,1,1
8.pdf,200,0,3,"1. What is the Tasmanian soft tree fern, and where does it come from?",8.pdf,5,"ger pests, are not present in the 
stems of these imported wild tree ferns. This is simply not a risk we should be taking.  

As already pointed out, these tree ferns are from a temperate rainforest h",1,1,1
8.pdf,200,0,5,"1. What is the Tasmanian soft tree fern, and where does it come from?",8.pdf,9,"y in the southeast. 

The buying public can help put a stop to this unethical trade by informing retailers, including 
some well-known household names, of the truth behind the trade in soft tree ferns",1,1,1
8.pdf,200,0,5,2. Why are Tasmanian soft tree ferns popular for gardening in the UK?,8.pdf,5,"ger pests, are not present in the 
stems of these imported wild tree ferns. This is simply not a risk we should be taking.  

As already pointed out, these tree ferns are from a temperate rainforest h",1,1,1
8.pdf,200,0,5,2. Why are Tasmanian soft tree ferns popular for gardening in the UK?,8.pdf,7,"wn 
from an original cover of about 20 percent. Many places where these tree ferns are planted 
are not within the British temperate rainforest zone. Many will experience unfavourable hot 
and dry sum",1,1,1
8.pdf,200,0,3,3. Are there any legal restrictions on importing Tasmanian soft tree ferns into the UK?,8.pdf,5,"ger pests, are not present in the 
stems of these imported wild tree ferns. This is simply not a risk we should be taking.  

As already pointed out, these tree ferns are from a temperate rainforest h",1,1,1
8.pdf,200,0,5,3. Are there any legal restrictions on importing Tasmanian soft tree ferns into the UK?,8.pdf,9,"y in the southeast. 

The buying public can help put a stop to this unethical trade by informing retailers, including 
some well-known household names, of the truth behind the trade in soft tree ferns",1,1,1
8.pdf,200,0,3,4. How do the climate needs of Dicksonia antarctica relate to British weather?,8.pdf,0,"Why the trade in Tasmanian soft tree ferns is damaging species rich temperate rainforests: 

Large specimens of the Tasmanian soft tree fern (Dicksonia antarctica) are freely and legally 
available in",1,1,1
8.pdf,200,0,5,4. How do the climate needs of Dicksonia antarctica relate to British weather?,8.pdf,2,"ns is legal but decidedly unethical. These plants are a byproduct of 
logging virgin temperate rainforest in Tasmania, a forest type far rarer than tropical 
rainforest. The plants have official paper",1,0.5,0.5
8.pdf,200,0,5,5. What are the potential ecological risks of importing wild-origin soft tree ferns?,8.pdf,7,"wn 
from an original cover of about 20 percent. Many places where these tree ferns are planted 
are not within the British temperate rainforest zone. Many will experience unfavourable hot 
and dry sum",1,1,1
8.pdf,200,0,5,6. How can consumers help in reducing the demand for wild-sourced Dicksonia antarctica?,8.pdf,3,"s for export, but the truth of their origins is not widely 
known. This trade provides another incentive for habitat destruction that causes species loss 
and is driving climate change by releasing ca",1,1,1
8.pdf,200,0,5,6. How can consumers help in reducing the demand for wild-sourced Dicksonia antarctica?,8.pdf,5,"ger pests, are not present in the 
stems of these imported wild tree ferns. This is simply not a risk we should be taking.  

As already pointed out, these tree ferns are from a temperate rainforest h",1,1,1
1.pdf,200,25,5,1. What percentage of Australia's landmass is covered by forest ecosystems?,1.pdf,336,"). A proportion of
the remaining forests (22%) have been subject to har-
vesting and reforestation activities (ABARES 2018).
Despite the considerable reduction in forest area
since European settlement",1,1,1
1.pdf,200,25,5,1. What percentage of Australia's landmass is covered by forest ecosystems?,1.pdf,116,"us forests
and mixed forests (Kirkpatrick 1991; Jones & Cleme-
sha 1993; McCarthy 1998).

doi:10.1111/aec.13103

© 2021 Ecological Society of Australia.

 14429993, 2022, 2, Downloaded from https://on",1,1,1
1.pdf,200,25,5,3. How do tree ferns contribute to the biodiversity of Australian forests?,1.pdf,524,"ology and abundance of tree ferns in
Australia, enabling more detailed and useful manage-
ment plans to be developed, for the conservation of
tree fern biological diversity.

Conservation and manageme",1,1,1
2.pdf,200,25,3,"5. What specific silvicultural practice is primarily responsible for the changes in tree-fern abundance, and when did it become the major system practiced?",2.pdf,197,"es in tree-fern
abundance. Forest structure, especially in terms of the
horizontal and vertical distribution of tree-ferns, and
tree-fern size and age distribution, has also been
changed. Such changes",1,1,1
2.pdf,200,25,5,"5. What specific silvicultural practice is primarily responsible for the changes in tree-fern abundance, and when did it become the major system practiced?",2.pdf,197,"es in tree-fern
abundance. Forest structure, especially in terms of the
horizontal and vertical distribution of tree-ferns, and
tree-fern size and age distribution, has also been
changed. Such changes",1,1,1
2.pdf,200,25,5,6. What conservation strategies that can be suggested to mitigate the decline in tree-fern populations due to clearfelling?,2.pdf,175,"ate of tree-ferns in stands regenerating
after clearfelling differs from recruitment rates in
naturally disturbed forest.

4.1. Implications of tree-fern decline for other
species

An important implic",1,1,1
3.pdf,200,25,3,1. What type of environment does the Dicksonia antarctica naturally grow in?,3.pdf,48,"nia+antarctica)
Australian National Botanic Gardens: Dicksonia antarctica – the soft tree fern (http://www.anbg.gov.au/gnp/interns-2003/dicksonia-antarctic
a.html)
Large, M.F. and J.E. Braggins 2004. ",1,1,1
3.pdf,200,25,3,2. How tall can Dicksonia antarctica typically grow?,3.pdf,41,".x (https://doi.org/10.1046%2Fj.1442-9993.2002.01190.x).

4. ""Dicksonia antarctica"" (https://www.rhs.org.uk/Plants/5794/Dicksonia-antarctica/Details). Royal Horticultural Society. Retrieved 29 May

20",1,1,1
3.pdf,200,25,5,2. How tall can Dicksonia antarctica typically grow?,3.pdf,41,".x (https://doi.org/10.1046%2Fj.1442-9993.2002.01190.x).

4. ""Dicksonia antarctica"" (https://www.rhs.org.uk/Plants/5794/Dicksonia-antarctica/Details). Royal Horticultural Society. Retrieved 29 May

20",1,1,1
3.pdf,200,25,5,2. How tall can Dicksonia antarctica typically grow?,3.pdf,22,"aptation to fire with the trunk and top of the plant being quite resistant to damage.[3]

Cultivation

Dicksonia antarctica grows best in areas of rainfall of over 1,000 mm per year but in lower rainf",1,1,1
3.pdf,200,25,5,2. How tall can Dicksonia antarctica typically grow?,3.pdf,19,"kaline soils. It can grow in semi-shade. It strongly resents drought
or  dryness  at  the  roots,  and  does  best  in  moist  soil.  Dicksonia  antarctica  is  a  long  lived  species  in
comparison ",1,1,1
3.pdf,200,25,1,3. What is the primary method of reproduction for Dicksonia antarctica?,3.pdf,40,"(June 2002). ""Ecophysiology of the Soft Tree Fern, Dicksonia antarctica Labill"".

Austral Ecology. 27 (4): 360–368. doi:10.1046/j.1442-9993.2002.01190.x (https://doi.org/10.1046%2Fj.1442-9993.2002.011",1,1,1
3.pdf,200,25,3,3. What is the primary method of reproduction for Dicksonia antarctica?,3.pdf,40,"(June 2002). ""Ecophysiology of the Soft Tree Fern, Dicksonia antarctica Labill"".

Austral Ecology. 27 (4): 360–368. doi:10.1046/j.1442-9993.2002.01190.x (https://doi.org/10.1046%2Fj.1442-9993.2002.011",1,1,1
3.pdf,200,25,5,3. What is the primary method of reproduction for Dicksonia antarctica?,3.pdf,40,"(June 2002). ""Ecophysiology of the Soft Tree Fern, Dicksonia antarctica Labill"".

Austral Ecology. 27 (4): 360–368. doi:10.1046/j.1442-9993.2002.01190.x (https://doi.org/10.1046%2Fj.1442-9993.2002.011",1,1,1
3.pdf,200,25,5,3. What is the primary method of reproduction for Dicksonia antarctica?,3.pdf,44,"414/http://www.kew.org/plants-fungi/Dicksonia-antarctica.htm). Kew.org.

Archived from the original (http://www.kew.org/plants-fungi/Dicksonia-antarctica.htm) on 18 March 2013. Retrieved 24 July 2013.",1,1,1
3.pdf,200,25,5,3. What is the primary method of reproduction for Dicksonia antarctica?,3.pdf,22,"aptation to fire with the trunk and top of the plant being quite resistant to damage.[3]

Cultivation

Dicksonia antarctica grows best in areas of rainfall of over 1,000 mm per year but in lower rainf",1,1,1
3.pdf,200,25,5,4. Why is it advised to keep old fronds on the plant?,3.pdf,13,"the base of the rhizome.

In  cultivation,  it  can  also  be  grown  as  a  ""cutting"",  a  method  not  to  be  encouraged  unless  the  tree-fern  is
doomed to die in its present position. This invo",1,1,1
3.pdf,200,25,3,5. What adaptation does Dicksonia antarctica have for surviving in fire-prone areas?,3.pdf,48,"nia+antarctica)
Australian National Botanic Gardens: Dicksonia antarctica – the soft tree fern (http://www.anbg.gov.au/gnp/interns-2003/dicksonia-antarctic
a.html)
Large, M.F. and J.E. Braggins 2004. ",1,1,1
3.pdf,200,25,3,5. What adaptation does Dicksonia antarctica have for surviving in fire-prone areas?,3.pdf,19,"kaline soils. It can grow in semi-shade. It strongly resents drought
or  dryness  at  the  roots,  and  does  best  in  moist  soil.  Dicksonia  antarctica  is  a  long  lived  species  in
comparison ",1,1,1
